time,emotion,duration_since_last,abrupt_change
2025-01-26T23:47:26.475203,Tristeza,0,False
2025-01-26T23:47:26.535680,Miedo,0.060477,True
2025-01-26T23:47:26.583608,Felicidad,0.047928,True
2025-01-26T23:47:26.635573,Felicidad,0.051965,False
2025-01-26T23:47:26.699763,Felicidad,0.06419,False
2025-01-26T23:47:26.791786,Felicidad,0.092023,False
2025-01-26T23:47:27.002031,Felicidad,0.210245,False
2025-01-26T23:47:27.072388,Felicidad,0.070357,False
2025-01-26T23:47:27.123975,Felicidad,0.051587,False
2025-01-26T23:47:27.183570,Felicidad,0.059595,False
2025-01-26T23:47:27.345746,Felicidad,0.162176,False
2025-01-26T23:47:27.422376,Felicidad,0.07663,False
2025-01-26T23:47:27.473264,Felicidad,0.050888,False
2025-01-26T23:47:27.523182,Felicidad,0.049918,False
2025-01-26T23:47:27.570985,Felicidad,0.047803,False
2025-01-26T23:47:27.626791,Felicidad,0.055806,False
2025-01-26T23:47:27.675181,Felicidad,0.04839,False
2025-01-26T23:47:27.734731,Tristeza,0.05955,True
2025-01-26T23:47:27.805323,Felicidad,0.070592,True
2025-01-26T23:47:27.886309,Neutral,0.080986,True
2025-01-26T23:47:27.938049,Neutral,0.05174,False
2025-01-26T23:47:28.053535,Neutral,0.115486,False
2025-01-26T23:47:28.104905,Neutral,0.05137,False
2025-01-26T23:47:28.155619,Neutral,0.050714,False
2025-01-26T23:47:28.237791,Tristeza,0.082172,True
2025-01-26T23:47:30.801544,Felicidad,2.563753,True
2025-01-26T23:47:31.001889,Felicidad,0.200345,False
2025-01-26T23:47:31.216039,Miedo,0.21415,True
2025-01-26T23:47:31.620232,Felicidad,0.404193,True
2025-01-26T23:47:32.214611,Miedo,0.594379,True
2025-01-26T23:47:32.418410,Felicidad,0.203799,True
2025-01-26T23:47:32.619955,Felicidad,0.201545,False
2025-01-26T23:47:32.805731,Felicidad,0.185776,False
2025-01-26T23:47:33.601536,Felicidad,0.795805,False
2025-01-26T23:47:33.801888,Felicidad,0.200352,False
2025-01-26T23:47:33.984222,Desconocida,0.182334,True
2025-01-26T23:47:34.190374,Desconocida,0.206152,False
2025-01-26T23:47:34.606555,Neutral,0.416181,True
2025-01-26T23:47:34.805746,Felicidad,0.199191,True
2025-01-26T23:47:35.004201,Felicidad,0.198455,False
2025-01-26T23:47:35.202476,Felicidad,0.198275,False
2025-01-26T23:47:35.378454,Desconocida,0.175978,True
2025-01-26T23:47:35.772718,Desconocida,0.394264,False
2025-01-26T23:47:36.002358,Felicidad,0.22964,True
2025-01-26T23:47:36.196204,Felicidad,0.193846,False
2025-01-26T23:47:36.805585,Felicidad,0.609381,False
2025-01-26T23:47:37.001655,Felicidad,0.19607,False
2025-01-26T23:47:37.201948,Felicidad,0.200293,False
2025-01-26T23:47:37.406224,Felicidad,0.204276,False
2025-01-26T23:47:37.601355,Felicidad,0.195131,False
2025-01-26T23:47:37.820233,Felicidad,0.218878,False
2025-01-26T23:47:38.005795,Felicidad,0.185562,False
2025-01-26T23:47:38.210611,Felicidad,0.204816,False
2025-01-26T23:47:38.413794,Miedo,0.203183,True
2025-01-26T23:47:38.616308,Sorpresa,0.202514,True
2025-01-26T23:47:38.820869,Sorpresa,0.204561,False
2025-01-26T23:47:39.024709,Sorpresa,0.20384,False
2025-01-26T23:47:39.232679,Sorpresa,0.20797,False
2025-01-26T23:47:39.426391,Sorpresa,0.193712,False
2025-01-26T23:47:39.618390,Sorpresa,0.191999,False
2025-01-26T23:47:39.817269,Sorpresa,0.198879,False
2025-01-26T23:47:40.014160,Sorpresa,0.196891,False
2025-01-26T23:47:40.213324,Sorpresa,0.199164,False
2025-01-26T23:47:40.422891,Sorpresa,0.209567,False
2025-01-26T23:47:40.619789,Sorpresa,0.196898,False
2025-01-26T23:47:40.821763,Sorpresa,0.201974,False
2025-01-26T23:47:41.017937,Sorpresa,0.196174,False
2025-01-26T23:47:41.205364,Miedo,0.187427,True
2025-01-26T23:47:41.404170,Miedo,0.198806,False
2025-01-26T23:47:41.615496,Miedo,0.211326,False
2025-01-26T23:47:41.817911,Miedo,0.202415,False
2025-01-26T23:47:42.011561,Miedo,0.19365,False
2025-01-26T23:47:42.217479,Miedo,0.205918,False
2025-01-26T23:47:42.428246,Miedo,0.210767,False
2025-01-26T23:47:42.604398,Miedo,0.176152,False
2025-01-26T23:47:42.804373,Miedo,0.199975,False
2025-01-26T23:47:43.011633,Miedo,0.20726,False
2025-01-26T23:47:43.214378,Sorpresa,0.202745,True
2025-01-26T23:47:43.409855,Miedo,0.195477,True
2025-01-26T23:47:43.612023,Miedo,0.202168,False
2025-01-26T23:47:43.813687,Miedo,0.201664,False
2025-01-26T23:47:44.020151,Miedo,0.206464,False
2025-01-26T23:47:44.213291,Miedo,0.19314,False
2025-01-26T23:47:44.423930,Miedo,0.210639,False
2025-01-26T23:47:44.604258,Miedo,0.180328,False
2025-01-26T23:47:44.813801,Miedo,0.209543,False
2025-01-26T23:47:45.002217,Miedo,0.188416,False
2025-01-26T23:47:45.206737,Sorpresa,0.20452,True
2025-01-26T23:47:45.413368,Sorpresa,0.206631,False
2025-01-26T23:47:45.609949,Felicidad,0.196581,True
2025-01-26T23:47:46.013148,Felicidad,0.403199,False
2025-01-26T23:47:46.205517,Felicidad,0.192369,False
2025-01-26T23:47:46.406367,Miedo,0.20085,True
2025-01-26T23:47:46.603026,Miedo,0.196659,False
2025-01-26T23:47:46.805620,Miedo,0.202594,False
2025-01-26T23:47:47.004632,Miedo,0.199012,False
2025-01-26T23:47:47.200601,Miedo,0.195969,False
2025-01-26T23:47:47.408746,Miedo,0.208145,False
2025-01-26T23:47:47.600983,Miedo,0.192237,False
2025-01-26T23:47:47.806099,Miedo,0.205116,False
2025-01-26T23:47:48.008612,Miedo,0.202513,False
2025-01-26T23:47:48.215823,Miedo,0.207211,False
2025-01-26T23:47:48.404454,Miedo,0.188631,False
2025-01-26T23:47:48.609043,Miedo,0.204589,False
2025-01-26T23:47:48.815199,Miedo,0.206156,False
2025-01-26T23:47:49.410768,Miedo,0.595569,False
2025-01-26T23:47:50.016192,Felicidad,0.605424,True
2025-01-26T23:47:50.603052,Felicidad,0.58686,False
2025-01-26T23:47:50.803706,Miedo,0.200654,True
2025-01-26T23:47:51.002688,Miedo,0.198982,False
2025-01-26T23:47:51.227662,Tristeza,0.224974,True
2025-01-26T23:47:51.398417,Miedo,0.170755,True
2025-01-26T23:47:51.610227,Felicidad,0.21181,True
2025-01-26T23:47:51.801523,Miedo,0.191296,True
2025-01-26T23:47:52.001951,Miedo,0.200428,False
2025-01-26T23:47:52.205735,Miedo,0.203784,False
2025-01-26T23:47:52.401345,Miedo,0.19561,False
2025-01-26T23:47:52.613159,Miedo,0.211814,False
2025-01-26T23:47:52.800655,Miedo,0.187496,False
2025-01-26T23:47:53.002392,Miedo,0.201737,False
2025-01-26T23:47:53.203854,Felicidad,0.201462,True
2025-01-26T23:47:53.402703,Miedo,0.198849,True
2025-01-26T23:47:53.616101,Neutral,0.213398,True
2025-01-26T23:47:53.802842,Neutral,0.186741,False
2025-01-26T23:47:54.004093,Neutral,0.201251,False
2025-01-26T23:47:54.205012,Neutral,0.200919,False
2025-01-26T23:47:54.401453,Neutral,0.196441,False
2025-01-26T23:47:54.802819,Tristeza,0.401366,True
2025-01-26T23:47:55.002847,Enojo,0.200028,True
2025-01-26T23:47:55.401616,Desagrado,0.398769,True
2025-01-26T23:47:55.603772,Desagrado,0.202156,False
2025-01-26T23:47:55.797894,Desagrado,0.194122,False
2025-01-26T23:47:56.002714,Desagrado,0.20482,False
2025-01-26T23:47:56.210760,Tristeza,0.208046,True
2025-01-26T23:47:56.603415,Desconocida,0.392655,True
2025-01-26T23:47:56.808740,Miedo,0.205325,True
2025-01-26T23:47:56.999123,Miedo,0.190383,False
2025-01-26T23:47:57.203883,Miedo,0.20476,False
2025-01-26T23:47:57.400279,Miedo,0.196396,False
2025-01-26T23:47:57.610312,Desagrado,0.210033,True
2025-01-26T23:47:57.800315,Desagrado,0.190003,False
2025-01-26T23:47:58.011723,Desagrado,0.211408,False
2025-01-26T23:47:58.403409,Desagrado,0.391686,False
2025-01-26T23:47:58.605570,Desagrado,0.202161,False
2025-01-26T23:47:59.008511,Desagrado,0.402941,False
2025-01-26T23:47:59.201640,Desagrado,0.193129,False
2025-01-26T23:47:59.406812,Desagrado,0.205172,False
2025-01-26T23:47:59.805858,Desagrado,0.399046,False
2025-01-26T23:48:00.002851,Desagrado,0.196993,False
2025-01-26T23:48:00.197512,Desagrado,0.194661,False
2025-01-26T23:48:00.406531,Desagrado,0.209019,False
2025-01-26T23:48:00.612608,Desagrado,0.206077,False
2025-01-26T23:48:00.809235,Desagrado,0.196627,False
2025-01-26T23:48:01.002127,Desagrado,0.192892,False
2025-01-26T23:48:01.206859,Desagrado,0.204732,False
2025-01-26T23:48:01.406252,Desagrado,0.199393,False
2025-01-26T23:48:01.607012,Desagrado,0.20076,False
2025-01-26T23:48:01.802309,Desagrado,0.195297,False
2025-01-26T23:48:02.218316,Neutral,0.416007,True
2025-01-26T23:48:02.401946,Enojo,0.18363,True
2025-01-26T23:48:02.807853,Felicidad,0.405907,True
2025-01-26T23:48:03.005093,Felicidad,0.19724,False
2025-01-26T23:48:03.205328,Neutral,0.200235,True
2025-01-26T23:48:03.405836,Neutral,0.200508,False
2025-01-26T23:48:03.599732,Neutral,0.193896,False
